symboling,normalized-losses,make,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,city-L/100km,highway-L/100km,preço-binned,horsepower-binned,fuel-type-diesel,fuel-type-gas,aspiration-std,aspiration-turbo,price
0,122.0,jaguar,four,sedan,rwd,front,113.0,0.9591542527630946,0.7948717948717945,-0.39490886305024464,4066,dohc,six,258,mpfi,3.63,4.17,8.1,176,4750.0,15.666666666666666,12.368421052631579,Caro,médio,0,1,1,0,35550.0
0,122.0,jaguar,two,sedan,rwd,front,102.0,0.921191734742912,0.8803418803418799,-2.4375409133100217,3950,ohcv,twelve,326,mpfi,3.54,2.76,11.5,262,5000.0,18.076923076923077,13.823529411764707,Caro,alto,0,1,1,0,36000.0
1,104.0,mazda,two,hatchback,fwd,front,93.1,0.7645362806343105,0.33333333333333376,0.1361754700172991,1890,ohc,four,91,2bbl,3.03,3.15,9.0,68,5000.0,7.833333333333333,7.580645161290323,Barato,baixo,0,1,1,0,5195.0
1,104.0,mazda,two,hatchback,fwd,front,93.1,0.7645362806343105,0.33333333333333376,0.1361754700172991,1900,ohc,four,91,2bbl,3.03,3.15,9.0,68,5000.0,7.580645161290323,6.184210526315789,Barato,baixo,0,1,1,0,6095.0
1,104.0,mazda,two,hatchback,fwd,front,93.1,0.7645362806343105,0.33333333333333376,0.1361754700172991,1905,ohc,four,91,2bbl,3.03,3.15,9.0,68,5000.0,7.580645161290323,6.184210526315789,Barato,baixo,0,1,1,0,6795.0
1,113.0,mazda,four,sedan,fwd,front,93.1,0.8015377222489188,0.33333333333333376,0.1361754700172991,1945,ohc,four,91,2bbl,3.03,3.15,9.0,68,5000.0,7.580645161290323,6.184210526315789,Barato,baixo,0,1,1,0,6695.0
1,113.0,mazda,four,sedan,fwd,front,93.1,0.8015377222489188,0.33333333333333376,0.1361754700172991,1950,ohc,four,91,2bbl,3.08,3.15,9.0,68,5000.0,7.580645161290323,6.184210526315789,Barato,baixo,0,1,1,0,7395.0
3,150.0,mazda,two,hatchback,rwd,front,95.3,0.8121095627102355,0.4615384615384619,-1.7021933752165002,2380,rotor,two,70,4bbl,3.3307106598984775,3.2569035532994857,9.4,101,6000.0,13.823529411764707,10.217391304347826,Barato,baixo,0,1,1,0,10945.0
3,150.0,mazda,two,hatchback,rwd,front,95.3,0.8121095627102355,0.4615384615384619,-1.7021933752165002,2380,rotor,two,70,4bbl,3.3307106598984775,3.2569035532994857,9.4,101,6000.0,13.823529411764707,10.217391304347826,Barato,baixo,0,1,1,0,11845.0
3,150.0,mazda,two,hatchback,rwd,front,95.3,0.8121095627102355,0.4615384615384619,-1.7021933752165002,2385,rotor,two,70,4bbl,3.3307106598984775,3.2569035532994857,9.4,101,6000.0,13.823529411764707,10.217391304347826,Barato,baixo,0,1,1,0,13645.0
3,150.0,mazda,two,hatchback,rwd,front,95.3,0.8121095627102355,0.4615384615384619,-1.7021933752165002,2500,rotor,two,80,mpfi,3.3307106598984775,3.2569035532994857,9.4,135,6000.0,14.6875,10.217391304347826,Barato,médio,0,1,1,0,15645.0
1,129.0,mazda,two,hatchback,fwd,front,98.8,0.8543969245555022,0.52991452991453,-0.027235094003482462,2385,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800.0,9.038461538461538,7.34375,Barato,baixo,0,1,1,0,8845.0
0,115.0,mazda,four,sedan,fwd,front,98.8,0.8543969245555022,0.52991452991453,0.708112444090036,2410,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800.0,9.038461538461538,7.34375,Barato,baixo,0,1,1,0,8495.0
1,129.0,mazda,two,hatchback,fwd,front,98.8,0.8543969245555022,0.52991452991453,-0.027235094003482462,2385,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800.0,9.038461538461538,7.34375,Barato,baixo,0,1,1,0,10595.0
0,115.0,mazda,four,sedan,fwd,front,98.8,0.8543969245555022,0.52991452991453,0.708112444090036,2410,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800.0,9.038461538461538,7.34375,Barato,baixo,0,1,1,0,10245.0
0,122.0,mazda,four,sedan,fwd,front,98.8,0.8543969245555022,0.52991452991453,0.708112444090036,2443,ohc,four,122,idi,3.39,3.39,22.7,64,4650.0,6.527777777777778,5.595238095238095,Barato,baixo,1,0,1,0,10795.0
0,115.0,mazda,four,hatchback,fwd,front,98.8,0.8543969245555022,0.52991452991453,0.708112444090036,2425,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800.0,9.038461538461538,7.34375,Barato,baixo,0,1,1,0,11245.0
0,118.0,mazda,four,sedan,rwd,front,104.9,0.8409418548774628,0.49572649572649535,0.25873339303288456,2670,ohc,four,140,mpfi,3.76,3.16,8.0,120,5000.0,12.368421052631579,8.703703703703704,Barato,médio,0,1,1,0,18280.0
0,122.0,mazda,four,sedan,rwd,front,104.9,0.8409418548774628,0.49572649572649535,0.25873339303288456,2700,ohc,four,134,idi,3.43,3.64,22.0,72,4200.0,7.580645161290323,6.0256410256410255,Barato,baixo,1,0,1,0,18344.0
-1,93.0,mercedes-benz,four,sedan,rwd,front,110.0,0.9173474291206152,0.8547008547008544,1.1166388541419914,3515,ohc,five,183,idi,3.58,3.64,21.5,123,4350.0,10.681818181818182,9.4,Mediano,médio,1,0,0,1,25552.0
-1,93.0,mercedes-benz,four,wagon,rwd,front,110.0,0.9173474291206152,0.8547008547008544,2.0153969562562946,3750,ohc,five,183,idi,3.58,3.64,21.5,123,4350.0,10.681818181818182,9.4,Mediano,médio,1,0,0,1,28248.0
0,93.0,mercedes-benz,two,hardtop,rwd,front,106.7,0.9010091302258529,0.8547008547008544,0.46299659805886223,3495,ohc,five,183,idi,3.58,3.64,21.5,123,4350.0,10.681818181818182,9.4,Mediano,médio,1,0,0,1,28176.0
-1,93.0,mercedes-benz,four,sedan,rwd,front,115.6,0.9735703988467083,0.9743589743589746,1.034933572131599,3770,ohc,five,183,idi,3.58,3.64,21.5,123,4350.0,10.681818181818182,9.4,Mediano,médio,1,0,0,1,31600.0
-1,122.0,mercedes-benz,four,sedan,rwd,front,115.6,0.9735703988467083,0.9743589743589746,1.1166388541419914,3740,ohcv,eight,234,mpfi,3.46,3.1,8.3,155,4750.0,14.6875,13.055555555555555,Caro,médio,0,1,1,0,34184.0
3,142.0,mercedes-benz,two,convertible,rwd,front,96.6,0.8664103796251803,0.8717948717948718,-1.2119616831541553,3685,ohcv,eight,234,mpfi,3.46,3.1,8.3,155,4750.0,14.6875,13.055555555555555,Caro,médio,0,1,1,0,35056.0
0,122.0,mercedes-benz,four,sedan,rwd,front,120.9,1.0,0.9743589743589746,1.1983441361523837,3900,ohcv,eight,308,mpfi,3.8,3.35,8.0,184,4500.0,16.785714285714285,14.6875,Caro,médio,0,1,1,0,40960.0
1,122.0,mercedes-benz,two,hardtop,rwd,front,112.0,0.9572320999519461,1.0,0.6672598030848399,3715,ohcv,eight,304,mpfi,3.8,3.35,8.0,184,4500.0,16.785714285714285,14.6875,Caro,médio,0,1,1,0,45400.0
1,122.0,mercury,two,hatchback,rwd,front,102.7,0.857280153772225,0.6581196581196582,0.42214395705366614,2910,ohc,four,140,mpfi,3.78,3.12,8.0,175,5000.0,12.368421052631579,9.791666666666666,Barato,médio,0,1,0,1,16503.0
2,161.0,mitsubishi,two,hatchback,fwd,front,93.7,0.7558865929841423,0.35042735042735107,-1.2119616831541553,1918,ohc,four,92,2bbl,2.97,3.23,9.4,68,5500.0,6.351351351351352,5.7317073170731705,Barato,baixo,0,1,1,0,5389.0
2,161.0,mitsubishi,two,hatchback,fwd,front,93.7,0.7558865929841423,0.35042735042735107,-1.2119616831541553,1944,ohc,four,92,2bbl,2.97,3.23,9.4,68,5500.0,7.580645161290323,6.184210526315789,Barato,baixo,0,1,1,0,6189.0
2,161.0,mitsubishi,two,hatchback,fwd,front,93.7,0.7558865929841423,0.35042735042735107,-1.2119616831541553,2004,ohc,four,92,2bbl,2.97,3.23,9.4,68,5500.0,7.580645161290323,6.184210526315789,Barato,baixo,0,1,1,0,6669.0
1,161.0,mitsubishi,two,hatchback,fwd,front,93.0,0.7558865929841423,0.2991452991452991,-1.2119616831541553,2145,ohc,four,98,spdi,3.03,3.39,7.6,102,5500.0,9.791666666666666,7.833333333333333,Barato,baixo,0,1,0,1,7689.0
3,153.0,mitsubishi,two,hatchback,fwd,front,96.3,0.8313310908217203,0.4358974358974365,-1.7838986572268922,2370,ohc,four,110,spdi,3.17,3.46,7.5,116,5500.0,10.217391304347826,7.833333333333333,Barato,baixo,0,1,0,1,9959.0
3,153.0,mitsubishi,two,hatchback,fwd,front,96.3,0.8313310908217203,0.4358974358974365,-1.7838986572268922,2328,ohc,four,122,2bbl,3.35,3.46,8.5,88,5000.0,9.4,7.34375,Barato,baixo,0,1,1,0,8499.0
3,122.0,mitsubishi,two,hatchback,fwd,front,95.9,0.8322921672272945,0.5128205128205127,-1.4570775291853262,2833,ohc,four,156,spdi,3.58,3.86,7.0,145,5000.0,12.368421052631579,9.791666666666666,Barato,médio,0,1,0,1,12629.0
3,122.0,mitsubishi,two,hatchback,fwd,front,95.9,0.8322921672272945,0.5128205128205127,-1.4570775291853262,2921,ohc,four,156,spdi,3.59,3.86,7.0,145,5000.0,12.368421052631579,9.791666666666666,Barato,médio,0,1,0,1,14869.0
3,122.0,mitsubishi,two,hatchback,fwd,front,95.9,0.8322921672272945,0.5128205128205127,-1.4570775291853262,2926,ohc,four,156,spdi,3.59,3.86,7.0,145,5000.0,12.368421052631579,9.791666666666666,Barato,médio,0,1,0,1,14489.0
1,125.0,mitsubishi,four,sedan,fwd,front,96.3,0.8284478616049976,0.4358974358974365,-0.8851405551125894,2365,ohc,four,122,2bbl,3.35,3.46,8.5,88,5000.0,9.4,7.34375,Barato,baixo,0,1,1,0,6989.0
1,125.0,mitsubishi,four,sedan,fwd,front,96.3,0.8284478616049976,0.4358974358974365,-0.8851405551125894,2405,ohc,four,122,2bbl,3.35,3.46,8.5,88,5000.0,9.4,7.34375,Barato,baixo,0,1,1,0,8189.0
1,125.0,mitsubishi,four,sedan,fwd,front,96.3,0.8284478616049976,0.4358974358974365,-0.8851405551125894,2403,ohc,four,110,spdi,3.17,3.46,7.5,116,5500.0,10.217391304347826,7.833333333333333,Barato,baixo,0,1,0,1,9279.0
-1,137.0,mitsubishi,four,sedan,fwd,front,96.3,0.8284478616049976,0.4358974358974365,-0.8851405551125894,2403,ohc,four,110,spdi,3.17,3.46,7.5,116,5500.0,10.217391304347826,7.833333333333333,Barato,baixo,0,1,1,0,9279.0
1,128.0,nissan,two,sedan,fwd,front,94.5,0.794329649207112,0.2991452991452991,0.29958603403808065,1889,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200.0,7.580645161290323,6.351351351351352,Barato,baixo,0,1,1,0,5499.0
1,128.0,nissan,two,sedan,fwd,front,94.5,0.794329649207112,0.2991452991452991,0.29958603403808065,2017,ohc,four,103,idi,2.99,3.47,21.9,55,4800.0,5.222222222222222,4.7,Barato,baixo,1,0,1,0,7099.0
1,128.0,nissan,two,sedan,fwd,front,94.5,0.794329649207112,0.2991452991452991,0.29958603403808065,1918,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200.0,7.580645161290323,6.351351351351352,Barato,baixo,0,1,1,0,6649.0
1,122.0,nissan,four,sedan,fwd,front,94.5,0.794329649207112,0.2991452991452991,0.29958603403808065,1938,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200.0,7.580645161290323,6.351351351351352,Barato,baixo,0,1,1,0,6849.0
1,103.0,nissan,four,wagon,fwd,front,94.5,0.8178760211436809,0.2991452991452991,-0.1089403760138747,2024,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200.0,7.580645161290323,6.351351351351352,Barato,baixo,0,1,1,0,7349.0
1,128.0,nissan,two,sedan,fwd,front,94.5,0.794329649207112,0.2991452991452991,0.29958603403808065,1951,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200.0,7.580645161290323,6.351351351351352,Barato,baixo,0,1,1,0,7299.0
1,128.0,nissan,two,hatchback,fwd,front,94.5,0.7957712638154734,0.2991452991452991,-0.19064565802426695,2028,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200.0,7.580645161290323,6.351351351351352,Barato,baixo,0,1,1,0,7799.0
1,122.0,nissan,four,sedan,fwd,front,94.5,0.794329649207112,0.2991452991452991,0.29958603403808065,1971,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200.0,7.580645161290323,6.351351351351352,Barato,baixo,0,1,1,0,7499.0
1,103.0,nissan,four,wagon,fwd,front,94.5,0.8178760211436809,0.2991452991452991,-0.1089403760138747,2037,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200.0,7.580645161290323,6.351351351351352,Barato,baixo,0,1,1,0,7999.0
2,168.0,nissan,two,hardtop,fwd,front,95.1,0.7803940413262855,0.2991452991452991,-0.19064565802426695,2008,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200.0,7.580645161290323,6.351351351351352,Barato,baixo,0,1,1,0,8249.0
0,106.0,nissan,four,hatchback,fwd,front,97.2,0.8332532436328689,0.4188034188034192,0.38129131604847294,2324,ohc,four,120,2bbl,3.33,3.47,8.5,97,5200.0,8.703703703703704,6.911764705882353,Barato,baixo,0,1,1,0,8949.0
0,106.0,nissan,four,sedan,fwd,front,97.2,0.8332532436328689,0.4188034188034192,0.38129131604847294,2302,ohc,four,120,2bbl,3.33,3.47,8.5,97,5200.0,8.703703703703704,6.911764705882353,Barato,baixo,0,1,1,0,9549.0
0,128.0,nissan,four,sedan,fwd,front,100.4,0.8731379144641999,0.52991452991453,0.5447018800692545,3095,ohcv,six,181,mpfi,3.43,3.27,9.0,152,5200.0,13.823529411764707,10.681818181818182,Barato,médio,0,1,1,0,13499.0
0,108.0,nissan,four,wagon,fwd,front,100.4,0.8870735223450265,0.52991452991453,0.9532282901212099,3296,ohcv,six,181,mpfi,3.43,3.27,9.0,152,5200.0,13.823529411764707,10.681818181818182,Barato,médio,0,1,1,0,14399.0
0,108.0,nissan,four,sedan,fwd,front,100.4,0.8870735223450265,0.52991452991453,0.5447018800692545,3060,ohcv,six,181,mpfi,3.43,3.27,9.0,152,5200.0,12.368421052631579,9.4,Barato,médio,0,1,1,0,13499.0
3,194.0,nissan,two,hatchback,rwd,front,91.3,0.8202787121576165,0.6495726495726502,-1.661340734211304,3071,ohcv,six,181,mpfi,3.43,3.27,9.0,160,5200.0,12.368421052631579,9.4,Barato,médio,0,1,1,0,17199.0
3,194.0,nissan,two,hatchback,rwd,front,91.3,0.8202787121576165,0.6495726495726502,-1.661340734211304,3139,ohcv,six,181,mpfi,3.43,3.27,7.8,200,5200.0,13.823529411764707,10.217391304347826,Mediano,alto,0,1,0,1,19699.0
1,231.0,nissan,two,hatchback,rwd,front,99.2,0.857760691975012,0.6495726495726502,-1.661340734211304,3139,ohcv,six,181,mpfi,3.43,3.27,9.0,160,5200.0,12.368421052631579,9.4,Barato,médio,0,1,1,0,18399.0
0,161.0,peugot,four,sedan,rwd,front,107.9,0.897164824603556,0.6923076923076928,1.1983441361523837,3020,l,four,120,mpfi,3.46,3.19,8.4,97,5000.0,12.368421052631579,9.791666666666666,Barato,baixo,0,1,1,0,11900.0
0,161.0,peugot,four,sedan,rwd,front,107.9,0.897164824603556,0.6923076923076928,1.1983441361523837,3197,l,four,152,idi,3.7,3.52,21.0,95,4150.0,8.392857142857142,7.121212121212121,Barato,baixo,1,0,0,1,13200.0
0,122.0,peugot,four,wagon,rwd,front,114.2,0.9557904853435849,0.6923076923076928,2.0153969562562946,3230,l,four,120,mpfi,3.46,3.19,8.4,97,5000.0,12.368421052631579,9.791666666666666,Barato,baixo,0,1,1,0,12440.0
0,122.0,peugot,four,wagon,rwd,front,114.2,0.9557904853435849,0.6923076923076928,2.0153969562562946,3430,l,four,152,idi,3.7,3.52,21.0,95,4150.0,9.4,9.4,Barato,baixo,1,0,0,1,13860.0
0,161.0,peugot,four,sedan,rwd,front,107.9,0.897164824603556,0.6923076923076928,1.1983441361523837,3075,l,four,120,mpfi,3.46,2.19,8.4,95,5000.0,12.368421052631579,9.791666666666666,Barato,baixo,0,1,1,0,15580.0
